url,weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart,year,month,day
http://www.billboard.com/charts/hot-100/1960-12-10,12/10/60,66,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,2,NA,39,15,1960,12,10
http://www.billboard.com/charts/hot-100/1960-12-10,12/10/60,100,THE CHRISTMAS SONG (MERRY CHRISTMAS TO YOU),Nat King Cole,The Christmas Song (Merry Christmas To You)Nat King Cole,1,NA,38,8,1960,12,10
http://www.billboard.com/charts/hot-100/1960-12-10,12/10/60,64,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,1,NA,14,18,1960,12,10
http://www.billboard.com/charts/hot-100/1960-12-10,12/10/60,55,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,3,NA,12,13,1960,12,10
http://www.billboard.com/charts/hot-100/1960-12-10,12/10/60,69,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,2,NA,29,19,1960,12,10
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,64,SILENT NIGHT,Bing Crosby,Silent NightBing Crosby,1,NA,54,2,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,46,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,2,69,29,19,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,26,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,1,64,14,18,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,78,TWISTIN' BELLS,Santo & Johnny,Twistin' BellsSanto & Johnny,1,NA,49,3,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,89,CHRISTMAS AULD LANG SYNE,Bobby Darin,Christmas Auld Lang SyneBobby Darin,1,NA,51,3,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,32,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,3,55,12,13,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,45,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,2,66,39,15,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,80,THE CHRISTMAS SONG (MERRY CHRISTMAS TO YOU),Nat King Cole,The Christmas Song (Merry Christmas To You)Nat King Cole,1,100,38,8,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,97,BLUE CHRISTMAS,The Browns Featuring Jim Edward Brown,Blue ChristmasThe Browns Featuring Jim Edward Brown,1,NA,97,1,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-17,12/17/60,96,WHITE CHRISTMAS,The Drifters Featuring Clyde McPhatter And Bill Pinkney,White ChristmasThe Drifters Featuring Clyde McPhatter And Bill Pinkney,1,NA,88,2,1960,12,17
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/60,61,TWISTIN' BELLS,Santo & Johnny,Twistin' BellsSanto & Johnny,1,78,49,3,1960,12,24
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/60,14,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,1,26,14,18,1960,12,24
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/60,26,WHITE CHRISTMAS,Bing Crosby,White ChristmasBing Crosby,3,32,12,13,1960,12,24
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/60,36,JINGLE BELL ROCK,Bobby Helms,Jingle Bell RockBobby Helms,2,46,29,19,1960,12,24
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/60,60,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,The Chipmunk Song (Christmas Don't Be Late)David Seville And The Chipmunks,2,45,39,15,1960,12,24
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/60,54,SILENT NIGHT,Bing Crosby,Silent NightBing Crosby,1,64,54,2,1960,12,24
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/60,95,CHILD OF GOD,Bobby Darin,Child Of GodBobby Darin,1,NA,95,1,1960,12,24
http://www.billboard.com/charts/hot-100/1960-12-24,12/24/60,58,CHRISTMAS AULD LANG SYNE,Bobby Darin,Christmas Auld Lang SyneBobby Darin,1,89,51,3,1960,12,24
http://www.billboard.com/charts/hot-100/1960-12-31,12/31/60,18,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,Rockin' Around The Christmas TreeBrenda Lee,1,14,14,18,1960,12,31
http://www.billboard.com/charts/hot-100/1960-12-31,12/31/60,49,TWISTIN' BELLS,Santo & Johnny,Twistin' BellsSanto & Johnny,1,61,49,3,1960,12,31
http://www.billboard.com/charts/hot-100/1960-12-31,12/31/60,51,CHRISTMAS AULD LANG SYNE,Bobby Darin,Christmas Auld Lang SyneBobby Darin,1,58,51,3,1960,12,31
http://www.billboard.com/charts/hot-100/1961-11-25,11/25/61,99,LITTLE ALTAR BOY,Vic Dana,Little Altar BoyVic Dana,1,NA,45,8,1961,11,25
http://www.billboard.com/charts/hot-100/1961-12-02,12/2/61,78,LITTLE ALTAR BOY,Vic Dana,Little Altar BoyVic Dana,1,99,45,8,1961,12,2
