url,weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart,year,month,day,previous_peak_position,lyrics
http://www.billboard.com/charts/hot-100/1959-01-10,1/10/1959,70,JINGLE BELL ROCK,Bobby Helms,JINGLE BELL ROCK,1,45,29,19,Thu Jan 01 1959 00:00:00 GMT-0500 (hora estándar oriental),1,10,NaN,Jingle bell jingle bell jingle bell rock Jingle bells swing and jingle bells ring Snowin and blowin up bushels of fun Now the jingle hop has begun Jingle bell jingle bell jingle bell rock Jingle bells chime in jingle bell time Dancin and prancin in Jingle Bell Square In the frosty air What a bright time it's the right time To rock the night away Jingle bell time is a swell time To go glidin in a one horse sleigh Giddy up jingle horse pick up your feet Jingle around the clock Mix and a mingle in the jinglin feet That's the jingle bell rock Jingle bell jingle bell jingle bell rock Jingle bells chime in jingle bell time Dancin and prancin in Jingle Bell Square In the frosty air What a bright time it's the right time To rock the night away Jingle bell time is a swell time To go glidin in a one horse sleigh Giddy up jingle horse pick up your feet Jingle around the clock Mix and a mingle in the jinglin feet That's the jingle bell That's the jingle bell That's the jingle bell rock
http://www.billboard.com/charts/hot-100/1959-12-05,12/5/1959,83,THE HAPPY REINDEER,Dancer & Prancer And Nervous,THE HAPPY REINDEER,1,NA,34,6,Thu Jan 01 1959 00:00:00 GMT-0500 (hora estándar oriental),12,5,NaN,My Name Is Prancer Duh uh I'm Dancer My name is uh my name is uh Say are you Nervous Nope We are Santa's Reindeer We've learned to sing this year So we can tell everyone Christmas day is near Oh we're on our way with A great big sleigh full of toys Choo choo trains and candy canes For all you girls and boys Jingle bells oh jingle bells Ring your happy tune Riding high up in the sky Hi there Mr Moon Gee that was a lot of fun Let's do it again We are Santa's Reindeer We've learned to sing this year So we can tell everyone Christmas day is near Oh we're on our way with A great big sleigh full of toys Choo choo trains and candy canes For all you girls and boys Jingle bells oh jingle bells Ring your happy tune Riding high up in the sky Hi there Mr Moon And remember everybody We're on our way to see you And you and you and you
http://www.billboard.com/charts/hot-100/1959-12-12,12/12/1959,89,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),1,NA,39,15,Thu Jan 01 1959 00:00:00 GMT-0500 (hora estándar oriental),12,12,NaN,Christmas Christmas time is near Time for toys and time for cheer We've been good but we can't last Hurry Christmas hurry fast Want a plane that loops the loop Me I want a Hula Hoop We can hardly stand the wait Please Christmas don't be late Ok Fellas Get ready That was very good Simon Naturally Very Good Theodore He He He He Uh Alvin You were a little flat Watch it Alvin Alvin ALVIN OKAY Want a plane that loops the loop I still want a Hula Hoop We can hardly stand the wait Please Christmas don't be late We can hardly stand the wait Please Christmas don't be late
http://www.billboard.com/charts/hot-100/1959-12-12,12/12/1959,80,THE HAPPY REINDEER,Dancer & Prancer And Nervous,THE HAPPY REINDEER,1,83,34,6,Thu Jan 01 1959 00:00:00 GMT-0500 (hora estándar oriental),12,12,NaN,My Name Is Prancer Duh uh I'm Dancer My name is uh my name is uh Say are you Nervous Nope We are Santa's Reindeer We've learned to sing this year So we can tell everyone Christmas day is near Oh we're on our way with A great big sleigh full of toys Choo choo trains and candy canes For all you girls and boys Jingle bells oh jingle bells Ring your happy tune Riding high up in the sky Hi there Mr Moon Gee that was a lot of fun Let's do it again We are Santa's Reindeer We've learned to sing this year So we can tell everyone Christmas day is near Oh we're on our way with A great big sleigh full of toys Choo choo trains and candy canes For all you girls and boys Jingle bells oh jingle bells Ring your happy tune Riding high up in the sky Hi there Mr Moon And remember everybody We're on our way to see you And you and you and you
http://www.billboard.com/charts/hot-100/1959-12-19,12/19/1959,76,THE HAPPY REINDEER,Dancer & Prancer And Nervous,THE HAPPY REINDEER,1,80,34,6,Thu Jan 01 1959 00:00:00 GMT-0500 (hora estándar oriental),12,19,NaN,My Name Is Prancer Duh uh I'm Dancer My name is uh my name is uh Say are you Nervous Nope We are Santa's Reindeer We've learned to sing this year So we can tell everyone Christmas day is near Oh we're on our way with A great big sleigh full of toys Choo choo trains and candy canes For all you girls and boys Jingle bells oh jingle bells Ring your happy tune Riding high up in the sky Hi there Mr Moon Gee that was a lot of fun Let's do it again We are Santa's Reindeer We've learned to sing this year So we can tell everyone Christmas day is near Oh we're on our way with A great big sleigh full of toys Choo choo trains and candy canes For all you girls and boys Jingle bells oh jingle bells Ring your happy tune Riding high up in the sky Hi there Mr Moon And remember everybody We're on our way to see you And you and you and you
http://www.billboard.com/charts/hot-100/1959-12-19,12/19/1959,96,THIS TIME OF THE YEAR,Brook Benton,THIS TIME OF THE YEAR,1,NA,66,5,Thu Jan 01 1959 00:00:00 GMT-0500 (hora estándar oriental),12,19,NaN,Christmas always comes this time of the year Little girls and little boys Dream of worlds full of toys This time of the year When Christmas is near Evergreens are snowy white Sleigh bells ring through the night This time of the year When Christmas is near And somewhere near a steeple People kneel and pray And choirs sing Carols of Christmas day Santa Claus is on his way Loads of joy on his sleigh This time of the year When Christmas is near Hear the sleigh bells Hear the sleigh bells Hear the sleigh bells ring
http://www.billboard.com/charts/hot-100/1959-12-19,12/19/1959,68,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),David Seville And The Chipmunks,THE CHIPMUNK SONG (CHRISTMAS DON'T BE LATE),1,89,39,15,Thu Jan 01 1959 00:00:00 GMT-0500 (hora estándar oriental),12,19,NaN,Christmas Christmas time is near Time for toys and time for cheer We've been good but we can't last Hurry Christmas hurry fast Want a plane that loops the loop Me I want a Hula Hoop We can hardly stand the wait Please Christmas don't be late Ok Fellas Get ready That was very good Simon Naturally Very Good Theodore He He He He Uh Alvin You were a little flat Watch it Alvin Alvin ALVIN OKAY Want a plane that loops the loop I still want a Hula Hoop We can hardly stand the wait Please Christmas don't be late We can hardly stand the wait Please Christmas don't be late
http://www.billboard.com/charts/hot-100/1959-12-26,12/26/1959,59,WHITE CHRISTMAS,Bing Crosby,WHITE CHRISTMAS,2,NA,12,13,Thu Jan 01 1959 00:00:00 GMT-0500 (hora estándar oriental),12,26,NaN,I'm dreaming of a white Christmas Just like the ones I used to know Where the treetops glisten and children listen To hear sleigh bells in the snow I'm dreaming of a white Christmas With every Christmas card I write May your days be merry and bright And may all your Christmases be white
http://www.billboard.com/charts/hot-100/1959-12-26,12/26/1959,77,THIS TIME OF THE YEAR,Brook Benton,THIS TIME OF THE YEAR,1,96,66,5,Thu Jan 01 1959 00:00:00 GMT-0500 (hora estándar oriental),12,26,NaN,Christmas always comes this time of the year Little girls and little boys Dream of worlds full of toys This time of the year When Christmas is near Evergreens are snowy white Sleigh bells ring through the night This time of the year When Christmas is near And somewhere near a steeple People kneel and pray And choirs sing Carols of Christmas day Santa Claus is on his way Loads of joy on his sleigh This time of the year When Christmas is near Hear the sleigh bells Hear the sleigh bells Hear the sleigh bells ring
http://www.billboard.com/charts/hot-100/1959-12-26,12/26/1959,34,THE HAPPY REINDEER,Dancer & Prancer And Nervous,THE HAPPY REINDEER,1,76,34,6,Thu Jan 01 1959 00:00:00 GMT-0500 (hora estándar oriental),12,26,NaN,My Name Is Prancer Duh uh I'm Dancer My name is uh my name is uh Say are you Nervous Nope We are Santa's Reindeer We've learned to sing this year So we can tell everyone Christmas day is near Oh we're on our way with A great big sleigh full of toys Choo choo trains and candy canes For all you girls and boys Jingle bells oh jingle bells Ring your happy tune Riding high up in the sky Hi there Mr Moon Gee that was a lot of fun Let's do it again We are Santa's Reindeer We've learned to sing this year So we can tell everyone Christmas day is near Oh we're on our way with A great big sleigh full of toys Choo choo trains and candy canes For all you girls and boys Jingle bells oh jingle bells Ring your happy tune Riding high up in the sky Hi there Mr Moon And remember everybody We're on our way to see you And you and you and you
